iter	Passed	Remaining
0	142	142393
1	143	71562
2	144	47879
3	144	36013
4	145	28920
5	145	24172
6	146	20782
7	147	18234
8	147	16257
9	148	14682
10	148	13395
11	149	12317
12	150	11397
13	150	10612
14	151	9930
15	151	9328
16	152	8801
17	152	8335
18	153	7921
19	153	7542
20	154	7202
21	155	6895
22	155	6613
23	156	6353
24	156	6115
25	157	5893
26	157	5686
27	158	5495
28	158	5318
29	159	5152
30	159	4998
31	160	4854
32	161	4720
33	161	4596
34	162	4478
35	163	4365
36	163	4257
37	164	4155
38	164	4059
39	165	3966
40	165	3878
41	166	3793
42	166	3713
43	167	3643
44	168	3572
45	168	3501
46	169	3433
47	169	3369
48	170	3309
49	170	3248
50	171	3189
51	171	3134
52	172	3081
53	172	3029
54	173	2980
55	174	2935
56	174	2891
57	175	2847
58	175	2805
59	176	2764
60	176	2724
61	177	2685
62	177	2646
63	178	2609
64	178	2573
65	179	2539
66	180	2507
67	180	2476
68	181	2445
69	181	2414
70	182	2385
71	182	2356
72	183	2328
73	183	2300
74	184	2273
75	184	2246
76	185	2220
77	185	2195
78	186	2171
79	186	2150
80	187	2127
81	188	2105
82	188	2080
83	188	2058
84	189	2037
85	189	2016
86	190	1996
87	190	1976
88	191	1957
89	191	1939
90	192	1920
91	192	1904
92	193	1888
93	194	1871
94	194	1854
95	195	1838
96	195	1821
97	196	1805
98	196	1789
99	197	1774
100	197	1759
101	198	1744
102	198	1729
103	199	1716
104	199	1703
105	200	1690
106	200	1677
107	201	1664
108	202	1651
109	202	1638
110	203	1626
111	203	1614
112	204	1601
113	204	1589
114	204	1577
115	205	1566
116	206	1555
117	206	1543
118	207	1532
119	207	1521
120	207	1510
121	208	1499
122	208	1489
123	209	1478
124	209	1468
125	210	1458
126	210	1448
127	211	1439
128	211	1431
129	212	1422
130	213	1414
131	213	1405
132	214	1397
133	214	1388
134	215	1380
135	215	1371
136	216	1363
137	216	1354
138	217	1346
139	217	1338
140	218	1331
141	218	1323
142	219	1315
143	220	1308
144	220	1301
145	221	1293
146	221	1285
147	222	1278
148	222	1271
149	223	1264
150	223	1257
151	224	1250
152	224	1243
153	225	1237
154	225	1231
155	226	1225
156	226	1218
157	227	1212
158	227	1205
159	228	1199
160	228	1191
161	229	1185
162	229	1179
163	230	1173
164	230	1168
165	231	1163
166	232	1157
167	232	1152
168	233	1146
169	233	1141
170	234	1135
171	234	1129
172	235	1124
173	235	1118
174	236	1113
175	236	1107
176	237	1102
177	237	1098
178	238	1093
179	238	1088
180	239	1083
181	239	1078
182	240	1073
183	240	1068
184	241	1063
185	241	1058
186	242	1053
187	242	1049
188	243	1044
189	244	1040
190	244	1036
191	245	1031
192	245	1027
193	246	1023
194	246	1018
195	247	1014
196	247	1010
197	248	1006
198	248	1002
199	249	997
200	250	994
201	250	991
202	251	987
203	251	983
204	252	979
205	253	975
206	253	971
207	253	967
208	254	963
209	254	959
210	255	955
211	255	951
212	256	948
213	257	944
214	257	941
215	258	937
216	258	933
217	259	930
218	259	926
219	260	922
220	260	918
221	261	915
222	261	911
223	262	908
224	262	904
225	263	902
226	264	899
227	264	895
228	265	892
229	265	888
230	266	885
231	266	882
232	267	879
233	267	876
234	268	873
235	268	869
236	269	866
237	269	863
238	270	860
239	270	857
240	271	854
241	271	851
242	272	848
243	272	844
244	273	841
245	273	838
246	274	835
247	274	832
248	275	829
249	275	827
250	276	824
251	276	821
252	277	819
253	277	816
254	278	813
255	278	810
256	279	807
257	279	804
258	280	802
259	280	799
260	281	796
261	282	794
262	282	792
263	283	789
264	283	786
265	284	784
266	284	781
267	285	779
268	285	776
269	286	773
270	286	771
271	287	768
272	287	766
273	288	764
274	289	761
